family_external_id,local_path,alt_text,title,image_type,width,height,file_size,local_filename
35753,images/bim_families/image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52031,images/bim_families/image_1_bimlibb6e935c318f2e1ea37dd8bf2543b5765.jpg,Zivkon TX 1201,,general_selenium,100,100,2995,image_1_bimlibb6e935c318f2e1ea37dd8bf2543b5765.jpg
52031,images/bim_families/image_2_bimlibb32476dff8cae5078c70e5bd85e0c2d5.jpg,КТтрон-праймер,,general_selenium,100,100,4196,image_2_bimlibb32476dff8cae5078c70e5bd85e0c2d5.jpg
52031,images/bim_families/image_3_04.jpg,Базальтовый утеплитель HOTROCK Фасад ПРО,,general_selenium,100,100,16738,image_3_04.jpg
52031,images/bim_families/image_4_bimlibfb375ccd7fd462512adb26640ed827d3.jpg,Крафтор SC70 D,,general_selenium,100,100,3827,image_4_bimlibfb375ccd7fd462512adb26640ed827d3.jpg
52031,images/bim_families/image_5_0701%20.png,Загружаемое семейство узла примыкания кровли к вентилируемому фасаду,,general_selenium,207,207,173281,image_5_0701%20.png
52031,images/bim_families/image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52053,images/bim_families/image_1_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC.png,,,slider_selenium,306,200,75685,image_1_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC.png
52053,images/bim_families/image_2_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC1.png,,,slider_selenium,306,200,130003,image_2_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC1.png
52053,images/bim_families/image_3_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC.png,Загружаемые семейства примыканий кровли к стойкам под оборудование,,general_selenium,207,207,75685,image_3_%D0%BF15%20%D0%BA%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%D0%BC.png
52053,images/bim_families/image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52034,images/bim_families/image_1_bimlib1f53873b547528e2764efe715c3b6664.png,Прокладка паронитовая ПР9,,general_selenium,100,100,17644,image_1_bimlib1f53873b547528e2764efe715c3b6664.png
52034,images/bim_families/image_4_bimlibf26e3a43c4b2a9a40586156fa9bbd4ff.jpg,Хомут составной с виброгасителем для сверхвысоких нагрузок PI-ХНD 177-184,,general_selenium,100,100,28855,image_4_bimlibf26e3a43c4b2a9a40586156fa9bbd4ff.jpg
52034,images/bim_families/image_5_0801.png,Загружаемое семейство узла примыкания кровли к утепленному парапету.,,general_selenium,207,207,13992,image_5_0801.png
52034,images/bim_families/image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52013,images/bim_families/image_1_%D0%BF0301.png,,,slider_selenium,306,200,38194,image_1_%D0%BF0301.png
52013,images/bim_families/image_2_%D0%BF0302.png,,,slider_selenium,306,200,34569,image_2_%D0%BF0302.png
52013,images/bim_families/image_3_%D0%BF0301.png,Загружаемое семейство узла примыкания кровли к парапетам высотой более 600 мм,,general_selenium,207,207,17401,image_3_%D0%BF0301.png
